Country,X,Y,Pop,GridDistCurrent,GridDistPlan,RoadDist,NightLights,TravelHours,GHI,WindVel,Hydropower,HydropowerDist,SubstationDist,LandCover,Elevation,Slope,SolarRestriction
Swaziland,3510.486328,-3140.875977,54.49608231,43.59023285,43.59023285,6.187584877,0,6,1900,6,2910.889893,20.15548706,40.45949936,9,567,13.94325352,0
Swaziland,3511.486328,-3140.875977,21.16545677,44.37039566,44.37039566,6.642475128,0,6,1900,5,2910.889893,20.79828072,41.45747375,9,472,2.344961405,0
Swaziland,3512.486328,-3140.875977,31.90199471,45.15922165,45.15922165,7.208241463,0,8,1900,5,2910.889893,21.46842575,42.4555397,14,477,9.748114586,0
Swaziland,3513.486328,-3140.875977,25.85450935,45.95627213,45.95627213,7.860980511,0,8,1900,5,2910.889893,22.1634407,43.4536972,8,408,6.493743896,0
Swaziland,3514.486328,-3140.875977,25.18588829,46.76111984,46.76111984,8.580867767,0,8,1892,5,2910.889893,22.88106155,44.45193481,8,366,4.031009674,0
Swaziland,3515.486328,-3140.875977,32.17982101,47.57337189,47.57337189,9.352409363,0,8,1892,5,2910.889893,23.61922455,45.45025253,8,351,6.624228477,1
Swaziland,3516.486328,-3140.875977,21.36541367,48.39265823,48.39265823,9.336548805,0,8,1892,5,2910.889893,24.37606621,46.44863892,8,322,1.28965807,1
Swaziland,3517.486328,-3140.875977,26.07757378,49.21862411,49.21862411,9.227285385,0,8,1892,5,2910.889893,25.14989853,47.44709778,8,298,1.913067579,1
Swaziland,3518.486328,-3140.875977,1.364502549,50.05093765,49.75061417,9.225260735,0,8,1892,5,2910.889893,25.93920135,48.44561768,8,302,1.693537712,0
Swaziland,3519.486328,-3140.875977,0.173414797,50.88928986,49.40153503,8.678108215,0,8,1892,5,2910.889893,26.74260712,49.44419861,8,309,0.974142373,0
Swaziland,3520.486328,-3140.875977,0.170697108,51.73338699,49.05245209,7.911802769,0,8,1892,5,2910.889893,27.55887985,50.44283295,8,332,3.287484646,0
Swaziland,3521.486328,-3140.875977,0.170697108,52.58295059,48.70336914,7.203032494,0,8,1892,5,2910.889893,28.38690948,50.30007935,8,337,2.958036661,0
Swaziland,3522.486328,-3140.875977,0.170515925,53.36677933,48.35429001,6.57044363,0,6,1900,5,2910.889893,29.22569847,49.52338409,8,344,1.272235274,1
Swaziland,3523.486328,-3140.875977,0.165805221,53.99084091,48.00520706,5.99572897,0,6,1900,5,2910.889893,30.07434654,48.75482559,8,324,1.436976314,1
Swaziland,3524.486328,-3140.875977,0.230307534,54.62607956,47.65612793,5.507117271,0,6,1900,5,2910.889893,30.93203926,47.99479675,8,313,1.643400311,1
Swaziland,3525.486328,-3140.875977,0.278371781,55.2721138,47.30704498,5.167970181,0,6,1900,5,2910.889893,31.79804802,47.24370956,9,302,1.559824586,1
Swaziland,3526.486328,-3140.875977,3.511232138,55.92856216,46.95796204,5.008741856,0,6,1900,5,2910.889893,32.67171097,46.50199509,9,293,0.64274317,1
Swaziland,3527.486328,-3140.875977,36.31986237,55.61804581,46.6088829,5.046491146,0,6,1900,5,2910.889893,33.5524292,45.77011108,9,281,2.927788734,1
Swaziland,3528.486328,-3140.875977,31.75854301,54.96622086,46.25979996,5.276992321,0,6,1900,5,2910.889893,34.43966293,45.04853821,9,243,1.670328021,1
Swaziland,3529.486328,-3140.875977,20.23297119,54.3249855,45.91071701,5.585026741,0,6,1900,6,2910.889893,35.33292007,44.33777618,14,224,0.996795356,1
Swaziland,3530.486328,-3140.875977,77.74913025,53.69471741,45.56163788,5.369338036,0,6,1900,6,2910.889893,36.2317543,43.63835144,14,216,0.52833879,1
